Country,Horizon,Return,Asset Class
Andorra,YTD,11.58928972,Equity
United Arab Emirates,YTD,12.16148622,Equity
Afghanistan,YTD,5.691031667,Equity
Antigua and Barbuda,YTD,30.98183722,Equity
Anguilla,YTD,-2.63108636,Equity
Albania,YTD,25.88528929,Equity
Armenia,YTD,12.26353297,Equity
Angola,YTD,-27.1028305,Equity
Antarctica,YTD,22.68185562,Equity
Argentina,YTD,-15.27037129,Equity
American Samoa,YTD,-14.99994621,Equity
Austria,YTD,-0.5433909232,Equity
Australia,YTD,-15.037357,Equity
Aruba,YTD,-22.44490519,Equity
Åland Islands,YTD,-2.960465267,Equity
Azerbaijan,YTD,-25.31536206,Equity
Bosnia and Herzegovina,YTD,-16.73333574,Equity
Barbados,YTD,30.17038959,Equity
Bangladesh,YTD,15.5814084,Equity
Belgium,YTD,12.53847282,Equity
Burkina Faso,YTD,-14.05937893,Equity
Bulgaria,YTD,0.8876649406,Equity
Bahrain,YTD,13.31000973,Equity
Burundi,YTD,3.394535861,Equity
Benin,YTD,4.109921751,Equity
Saint Barthélemy,YTD,-16.53347226,Equity
Bermuda,YTD,11.06386551,Equity
Brunei Darussalam,YTD,-11.36295148,Equity
Bolivia,YTD,-6.829118565,Equity
Caribbean Netherlands,YTD,-6.08663702,Equity
Brazil,YTD,11.01329552,Equity
Bahamas,YTD,15.36031489,Equity
Bhutan,YTD,-4.393054523,Equity
Bouvet Island,YTD,23.02544713,Equity
Botswana,YTD,-7.729728224,Equity
Belarus,YTD,-16.53116351,Equity
Belize,YTD,-7.370251103,Equity
Canada,YTD,22.56175919,Equity
Cocos (Keeling) Islands,YTD,7.529609714,Equity
"Congo, Democratic Republic of",YTD,15.12778245,Equity
Central African Republic,YTD,-22.66188105,Equity
Congo,YTD,-5.250789025,Equity
Switzerland,YTD,12.43296483,Equity
Côte d'Ivoire,YTD,12.11000738,Equity
Cook Islands,YTD,25.69233379,Equity
Chile,YTD,-11.42480809,Equity
Cameroon,YTD,30.65581488,Equity
China,YTD,3.727214114,Equity
Colombia,YTD,19.52906737,Equity
Costa Rica,YTD,-8.090391476,Equity
Cuba,YTD,8.15862396,Equity
Cape Verde,YTD,-5.084933373,Equity
Curaçao,YTD,0.6145068045,Equity
Christmas Island,YTD,-16.40215865,Equity
Cyprus,YTD,-21.88535005,Equity
Czech Republic,YTD,38.96792107,Equity
Germany,YTD,-1.538435898,Equity
Djibouti,YTD,-8.38337427,Equity
Denmark,YTD,15.30320058,Equity
Dominica,YTD,-27.11986586,Equity
Dominican Republic,YTD,-2.930631481,Equity
Algeria,YTD,3.612188355,Equity
Ecuador,YTD,-6.139680211,Equity
Estonia,YTD,14.29185868,Equity
Egypt,YTD,14.03280942,Equity
Western Sahara,YTD,5.260898434,Equity
Eritrea,YTD,0.4791503522,Equity
Spain,YTD,-15.48757297,Equity
Ethiopia,YTD,-23.86103244,Equity
Finland,YTD,-3.621697518,Equity
Fiji,YTD,-11.19677989,Equity
Falkland Islands,YTD,9.479557086,Equity
"Micronesia, Federated States of",YTD,6.359674462,Equity
Faroe Islands,YTD,10.53011257,Equity
France,YTD,2.325549995,Equity
Gabon,YTD,20.19700392,Equity
United Kingdom,YTD,-3.144392537,Equity
