Country,Horizon,Return (%),Asset Class,"{role: 'tooltip', p: {html: 'true'}}"
Australia,1M,1.31564777,Bond,<b>hi<b/>
Australia,YTD,2.001510793,Bond,<b>hi<b/>
Australia,12M,2.001510793,Bond,<b>hi<b/>
Austria,1M,0.744384805,Bond,null
Austria,YTD,2.449347229,Bond,null
Austria,12M,2.449347229,Bond,null
Bahrain,1M,0.220481795,Bond,null
Bahrain,YTD,-1.663817102,Bond,null
Bahrain,12M,-1.663817102,Bond,null
Belgium,1M,0.188608344,Bond,null
Belgium,YTD,0.767517165,Bond,null
Belgium,12M,0.767517165,Bond,null
Bermuda,1M,0.024306967,Bond,null
Bermuda,YTD,-3.149770385,Bond,null
Bermuda,12M,-3.149770385,Bond,null
Brazil,1M,1.140161618,Bond,null
Brazil,YTD,-2.127877118,Bond,null
Brazil,12M,-2.127877118,Bond,null
Canada,1M,1.269885497,Bond,null
Canada,YTD,-0.055445006,Bond,null
Canada,12M,-0.055445006,Bond,null
Cayman Islands,1M,0.006331462,Bond,null
Cayman Islands,YTD,-0.934777803,Bond,null
Cayman Islands,12M,-0.934777803,Bond,null
Chile,1M,1.46398515,Bond,null
Chile,YTD,-3.153544422,Bond,null
Chile,12M,-3.153544422,Bond,null
China,1M,1.198401672,Bond,null
China,YTD,-0.936595517,Bond,null
China,12M,-0.936595517,Bond,null
Colombia,1M,1.579886711,Bond,null
Colombia,YTD,-3.800048681,Bond,null
Colombia,12M,-3.800048681,Bond,null
Croatia,1M,0,Bond,null
Croatia,YTD,0,Bond,null
Croatia,12M,0,Bond,null
Cyprus,1M,1.280098786,Bond,null
Cyprus,YTD,1.352338476,Bond,null
Cyprus,12M,1.352338476,Bond,null
Czech Republic,1M,0.666723373,Bond,null
Czech Republic,YTD,-0.36500103,Bond,null
Czech Republic,12M,-0.36500103,Bond,null
Denmark,1M,0.568321727,Bond,null
Denmark,YTD,2.459099595,Bond,null
Denmark,12M,2.459099595,Bond,null
El Salvador,1M,0,Bond,null
El Salvador,YTD,0,Bond,null
El Salvador,12M,0,Bond,null
Estonia,1M,0.044580836,Bond,null
Estonia,YTD,0.285750053,Bond,null
Estonia,12M,0.285750053,Bond,null
Finland,1M,0.500453079,Bond,null
Finland,YTD,1.937001364,Bond,null
Finland,12M,1.937001364,Bond,null
France,1M,0.190971969,Bond,null
France,YTD,1.423996291,Bond,null
France,12M,1.423996291,Bond,null
Germany,1M,0.60805302,Bond,null
Germany,YTD,1.918049196,Bond,null
Germany,12M,1.918049196,Bond,null
Greece,1M,-0.062894426,Bond,null
Greece,YTD,-0.168905089,Bond,null
