symbol,date,price
new portfolio 1,03 July 2019,1
new portfolio 1,04 July 2019,1.00218
new portfolio 1,05 July 2019,0.99975
new portfolio 1,08 July 2019,0.99611
new portfolio 1,09 July 2019,0.99644
new portfolio 1,10 July 2019,0.99713
new portfolio 1,11 July 2019,0.99575
new portfolio 1,12 July 2019,0.9971
new portfolio 1,15 July 2019,1.0004
new portfolio 1,16 July 2019,1.00473
My Portfolio,09 July 2019,1
My Portfolio,10 July 2019,0.99973
My Portfolio,11 July 2019,0.99733
My Portfolio,12 July 2019,0.99791
My Portfolio,15 July 2019,1.00058
My Portfolio,16 July 2019,1.00302
Bust the balance,15 July 2019,1
Bust the balance,16 July 2019,1.00282
Donald Trump,04 July 2019,1
Donald Trump,05 July 2019,0.99755
Donald Trump,08 July 2019,0.99712
Donald Trump,09 July 2019,0.99728
Donald Trump,10 July 2019,0.99667
Donald Trump,11 July 2019,0.99374
Donald Trump,12 July 2019,0.99376
Donald Trump,15 July 2019,0.99647
Donald Trump,16 July 2019,0.99721
Warren Buffett,03 July 2019,1
Warren Buffett,04 July 2019,1.062047006
Warren Buffett,05 July 2019,1.097056447
Warren Buffett,08 July 2019,1.157304316
Warren Buffett,09 July 2019,1.196163045
Warren Buffett,10 July 2019,1.235735519
Warren Buffett,11 July 2019,1.327391137
Warren Buffett,12 July 2019,1.363465788
Warren Buffett,15 July 2019,1.451664506
Warren Buffett,16 July 2019,1.541092934
Gordon Gecko,03 July 2019,1
Gordon Gecko,04 July 2019,1.070864331
Gordon Gecko,05 July 2019,1.109847514
Gordon Gecko,08 July 2019,1.192684763
Gordon Gecko,09 July 2019,1.23535691
Gordon Gecko,10 July 2019,1.312578521
Gordon Gecko,11 July 2019,1.427327014
Gordon Gecko,12 July 2019,1.566897902
Gordon Gecko,15 July 2019,1.655103231
Gordon Gecko,16 July 2019,1.689844905
RG Zbghiiefbejbss,03 July 2019,1
RG Zbghiiefbejbss,04 July 2019,1.090851682
RG Zbghiiefbejbss,05 July 2019,1.174436748
RG Zbghiiefbejbss,08 July 2019,1.227251722
RG Zbghiiefbejbss,09 July 2019,1.2727462
RG Zbghiiefbejbss,10 July 2019,1.364927143
RG Zbghiiefbejbss,11 July 2019,1.450108375
RG Zbghiiefbejbss,12 July 2019,1.492954654
RG Zbghiiefbejbss,15 July 2019,1.544664616
RG Zbghiiefbejbss,16 July 2019,1.691531944
Bill Gates,03 July 2019,1
Bill Gates,04 July 2019,1.020969138
Bill Gates,05 July 2019,1.046683793
Bill Gates,08 July 2019,1.132787506
Bill Gates,09 July 2019,1.221426715
Bill Gates,10 July 2019,1.262398943
Bill Gates,11 July 2019,1.345219913
Bill Gates,12 July 2019,1.461894375
Bill Gates,15 July 2019,1.520311041
Bill Gates,16 July 2019,1.657948141
Team 9,03 July 2019,1
Team 9,04 July 2019,1.050131369
Team 9,05 July 2019,1.109595269
Team 9,08 July 2019,1.211798816
Team 9,09 July 2019,1.28677836
Team 9,10 July 2019,1.397740867
Team 9,11 July 2019,1.491394633
Team 9,12 July 2019,1.569368839
Team 9,15 July 2019,1.695034289
Team 9,16 July 2019,1.803813078
Team 10,03 July 2019,1
Team 10,04 July 2019,1.051942559
Team 10,05 July 2019,1.083301231
Team 10,08 July 2019,1.156244596
Team 10,09 July 2019,1.236415478
Team 10,10 July 2019,1.267245454
