Asset Class,Time,GBP,USD,EUR,CHF,LC
All Cap,YTD,-0.05143902,,,,
Large Cap,YTD,-0.05305603,,,,
Mid Cap,YTD,-0.0488332,,,,
Small Cap,YTD,-0.04686155,,,,
US,YTD,-0.00087569,0.01766268,0.001889611,-0.01304026,0.01766268
Europe (ex UK),YTD,-0.01548037,0.002787018,-0.01275548,-0.02746712,-0.01275548
Japan,YTD,0.01131598,0.03008002,0.01411449,-0.000997551,-0.0242815
Pac Basin (ex Japan),YTD,-0.01382871,0.004469313,-0.01109926,-0.02583558,0.005572446
Global (ex UK),YTD,-0.006099369,,,,
Far East (ex Japan),YTD,0.009713963,0.02844882,0.01250857,-0.00257954,0.02655574
Emerging Mkt,YTD,0.01455788,0.03338261,0.0173659,0.002205399,0.02636886
China,YTD,0.03366365,0.05284306,0.0365711,0.02102549,0.05364412
UK REITs,YTD,-0.0776543,,,,
Property*,YTD,0,-0.06621116,-0.08068424,-0.0943836,-0.06621116
Intl REITs,YTD,-0.08322167,,,,
Hedge Funds,YTD,0.000181519,0.003943842,-0.001482913,-0.01636253,0.003943842
Commodities,YTD,-0.01603605,0.002221021,-0.01331271,-0.02801604,0.002221021
Gold (Trans. £),YTD,-0.006255675,,,,
Gold (Hgd. £),YTD,0.010516203,,,,
UK Treasury,YTD,-0.01961431,,,,-0.01961431
UK Short Dated Gilts,YTD,-0.007243536,,,,
UK Index Linked,YTD,-0.0252014,,,,
UK Corporate,YTD,-0.02004861,,,,
Investment Grade,YTD,-0.01744978,-0.01547864,-0.01901001,-0.01955394,
Financial Credit,YTD,-0.01527819,,,,
High Yield,YTD,-0.006974451,-0.004394066,-0.008384086,-0.009019181,
Emerging Debt,YTD,-0.02189866,-0.0194396,-0.02330619,,
UK Cash,YTD,0.000952264,,,,
$/£,YTD,-0.01821661,,,,
€/£,YTD,-0.002760085,,,,
Yen/£,YTD,0.03648335,,,,
UK,YTD,,-0.03548585,-0.05043515,-0.06458527,-0.05143902
Global (ex US),YTD,,-0.003126957,,,
Gold,YTD,,0.01218287,,,0.01218287
US Treasury,YTD,,-0.02101934,,,-0.02101934
US Index Linked,YTD,,-0.01820968,,,
US Cash,YTD,,0.002956079,,,
£/$,YTD,,0.01855461,,,
€/$,YTD,,0.01569735,,,
Yen/$,YTD,,0.05571442,,,
Swiss,YTD,,,-0.03858276,-0.05290953,-0.05290953
Global,YTD,,,-0.006411869,-0.02126183,0.001014254
Gold (Trans. €),YTD,,,-0.003505265,,
EU Treasury,YTD,,,-0.007615242,,-0.007615242
EU Index Linked,YTD,,,-0.000939911,-0.01592297,
EU Cash,YTD,,,-0.000735127,,
£/€,YTD,,,0.002885153,,
$/€,YTD,,,-0.01545481,,
Yen/€,YTD,,,0.03939752,,
Swiss Treasury,YTD,,,,-0.02370326,-0.02370326
Global Index Linked $,YTD,,,,,-0.01464996
Investment Grade $,YTD,,,,,-0.01547864
High Yield $,YTD,,,,,-0.004394066
Emerging Debt $,YTD,,,,,-0.0194396
Gold (Trans. CHF),YTD,,,,-0.01835474,
Emerging Debt (Trans. CHF),YTD,,,,-0.04907275,
Swiss Cash,YTD,,,,-0.001235386,
€/SF,YTD,,,,-0.01495528,
