Asset Class,Time,Ret,CCY
China,YTD,0.02102549,CHF
$/SF,MTD,0.01662005,CHF
Emerging Mkt,YTD,0.002205399,CHF
Japan,MTD,0.001309605,CHF
Gold (Trans. CHF),MTD,-0.000299679,CHF
Swiss Cash,MTD,-0.000573376,CHF
Emerging Debt (Trans. CHF),MTD,-0.000863889,CHF
Commodities,MTD,-0.000961648,CHF
Japan,YTD,-0.000997551,CHF
EU Index Linked,MTD,-0.001026223,CHF
Swiss Cash,YTD,-0.001235386,CHF
Far East (ex Japan),YTD,-0.00257954,CHF
€/SF,MTD,-0.004662756,CHF
Swiss Treasury,MTD,-0.004760813,CHF
High Yield,YTD,-0.009019181,CHF
Investment Grade,MTD,-0.01082528,CHF
High Yield,MTD,-0.01192897,CHF
£/SF,YTD,-0.01217523,CHF
US,YTD,-0.01304026,CHF
€/SF,YTD,-0.01495528,CHF
£/SF,MTD,-0.01497801,CHF
EU Index Linked,YTD,-0.01592297,CHF
Hedge Funds,YTD,-0.01636253,CHF
Pac Basin (ex Japan),MTD,-0.01673567,CHF
Gold (Trans. CHF),YTD,-0.01835474,CHF
Investment Grade,YTD,-0.01955394,CHF
Global,YTD,-0.02126183,CHF
US,MTD,-0.021287,CHF
Swiss Treasury,YTD,-0.02370326,CHF
Global,MTD,-0.02549559,CHF
Pac Basin (ex Japan),YTD,-0.02583558,CHF
Hedge Funds,MTD,-0.02742962,CHF
Europe (ex UK),YTD,-0.02746712,CHF
Commodities,YTD,-0.02801604,CHF
$/SF,YTD,-0.03022062,CHF
Emerging Mkt,MTD,-0.0302654,CHF
Far East (ex Japan),MTD,-0.03215108,CHF
Europe (ex UK),MTD,-0.04115884,CHF
Swiss,MTD,-0.04793135,CHF
UK,MTD,-0.04841127,CHF
China,MTD,-0.04848501,CHF
Emerging Debt (Trans. CHF),YTD,-0.04907275,CHF
Property*,MTD,-0.05092769,CHF
Swiss,YTD,-0.05290953,CHF
UK,YTD,-0.06458527,CHF
Property*,YTD,-0.0943836,CHF
Yen/€,MTD,0.04485078,EUR
Yen/€,YTD,0.03939752,EUR
China,YTD,0.0365711,EUR
$/€,MTD,0.0213997,EUR
Emerging Mkt,YTD,0.0173659,EUR
Japan,YTD,0.01411449,EUR
Far East (ex Japan),YTD,0.01250857,EUR
Japan,MTD,0.006027754,EUR
Gold (Trans. €),MTD,0.004410885,EUR
Commodities,MTD,0.0037458,EUR
EU Index Linked,MTD,0.003670345,EUR
£/€,YTD,0.002885153,EUR
EU Treasury,MTD,0.002702353,EUR
US,YTD,0.001889611,EUR
EU Cash,MTD,-0.000337472,EUR
EU Cash,YTD,-0.000735127,EUR
EU Index Linked,YTD,-0.000939911,EUR
Hedge Funds,YTD,-0.001482913,EUR
