TS_Date,SP500,FTSEALLSHARE,USTreasury,RelID,RelSAA,RelIndustry,RelGroup,RelAUMGBPM,RelTime,AbsLabel,AbsARC,AbsPor,AbsBMK,AbsTime
28/12/2018,0.030043612,-0.002880854,0.002725099,Def,-0.31,5.39,CMAF Global,70,3Year,Opes Diversified Bond,2.310401565,2.346095046,3.786063122,3Year
21/12/2018,-0.070288379,-0.01711387,0.006589303,Bal,-0.41,5.93,CMAF Global,250,3Year,Opes Wealth Preservation,2.310401565,3.750340842,5.05027518,3Year
14/12/2018,-0.012240327,0.006208502,-0.000343032,Gro,-1.21,4.86,CMAF Global,279,3Year,Opes Wealth Enhancement MT,4.000725723,5.735912318,7.004402127,3Year
07/12/2018,-0.045531585,-0.029215541,0.009774329,Def,-1.42,-0.32,CMAF UK,144,3Year,Opes Wealth Enhancement LT,6.035843052,6.795495685,8.862794426,3Year
30/11/2018,0.049107136,0.003208905,0.001485395,Bal,-1.55,0.35,CMAF UK,1320,3Year,Opes Wealth Generation,7.53395269,8.493495337,10.38680851,3Year
23/11/2018,-0.037670575,-0.006782519,0.001351134,Gro,-2.44,-0.66,CMAF UK,594,3Year,TPS Defensive,2.310401565,3.53139073,5.187827728,3Year
16/11/2018,-0.015407203,-0.013126397,0.006620915,Eq Gro,-2.89,0.06,CMAF UK,279,3Year,TPS Balanced,4.000725723,5.951547978,7.676016493,3Year
09/11/2018,0.022113635,0.000130236,0.002171066,Def,-1.2,1.49,DPS,19,3Year,TPS Growth,6.035843052,8.390708251,10.03014843,3Year
02/11/2018,0.024467183,0.027579037,-0.007180299,Bal,-1.44,1.99,DPS,141,3Year,TPS Real Return,4.000725723,5.470379693,2.11049399,3Year
26/10/2018,-0.039338675,-0.0173857,0.006665555,Gro,-1.38,2.21,DPS,118,3Year,DPS Defensive,2.310401565,3.796255196,4.995364893,3Year
19/10/2018,0.000448977,0.005025735,-0.00311764,Preserve,-1.3,1.44,Opes GBP,78,3Year,DPS Balanced,4.000725723,5.98802257,7.427176876,3Year
12/10/2018,-0.040651367,-0.043230137,0.0051666,Enhance MT,-1.27,1.74,Opes GBP,405,3Year,DPS Growth,6.035843052,8.249249892,9.629445677,3Year
05/10/2018,-0.009458895,-0.023254917,-0.008980585,Enhance LT,-2.07,0.76,Opes GBP,739,3Year,DPS USP Balanced,1.606610287,2.92793177,3.198944988,3Year
28/09/2018,-0.005057404,1.60755E-05,0.001259551,Generate,-1.89,0.96,Opes GBP,260,3Year,DPS USP Growth,5.256964843,6.488050182,7.419980961,3Year
21/09/2018,0.008623295,0.022579304,-0.003321186,Div Bond,-1.44,0.04,Opes GBP,9,3Year,DPS Inv Category,2.473667411,1.306668766,2.322573728,3Year
14/09/2018,0.012092429,0.004148132,-0.002471841,Lower Risk,-0.07,0.26,PPF,15,3Year,CMAF UK Defensive,3.619332903,3.298666301,4.723591186,3Year
07/09/2018,-0.009811878,-0.019678583,-0.004825444,Lower/Med Risk,-0.2,0.82,PPF,31,3Year,CMAF UK Balanced,4.712779671,5.060747264,6.613886731,3Year
31/08/2018,0.009809613,-0.015306041,-0.000949342,Med Risk,-0.24,2.46,PPF,88,3Year,CMAF UK Growth,6.700560887,6.038901072,8.479463199,3Year
24/08/2018,0.008793601,0.004669072,0.002899896,Med/Higher Risk,-0.31,2.29,PPF,63,3Year,CMAF UK Equity Growth,7.22144548,7.279042347,10.17040213,3Year
17/08/2018,0.006620745,-0.011642577,-0.000409775,Higher Risk,-0.23,-0.47,PPF,52,3Year,CMAF Global Defensive,-1.93691865,3.44847273,3.761322824,3Year
10/08/2018,-0.00179558,0.005442458,0.005379254,Def,-1.66,1.22,TPS GBP,147,3Year,CMAF Global Balanced,-0.902104454,5.02384322,5.429940593,3Year
